x,Curve1
-0.261,5.606
1.293,5.426
3.549,5.53
5.744,5.727
8.069,5.831
10.734,5.937
12.697,5.759
14.775,5.301
17.358,5.219
19.744,5.23
22.894,5.431
26.057,5.82
28.934,6.02
31.511,5.844
34.277,5.483
36.771,5.121
39.975,5.135
44.373,5.623
47.659,5.824
50.256,5.93
52.43,5.846
55.04,5.204
57.813,4.936
60.465,4.855
61.821,4.767
