x,Curve1
0.344,5.73
2.484,6.031
4.528,6.041
6.594,5.468
8.905,5.285
12.799,5.497
16.693,5.71
20.447,5.922
22.749,5.642
25.781,5.656
29,5.38
32.11,5.492
34.939,5.602
38.004,6.005
40.981,6.213
43.777,5.935
47.05,5.465
50.497,5.384
53.387,5.398
56.946,5.803
60.002,6.109
61.835,6.118
