x,Curve1
0.118,4.83
2.177,5.166
3.877,5.842
6.061,6.178
7.674,6.176
9.696,5.495
12.171,5.322
14.884,4.895
17.735,4.806
21.299,5.564
24.612,6.237
26.535,6.235
28.879,5.892
31.645,5.211
34.303,4.953
37.215,4.864
40.029,5.453
43.149,5.958
45.895,6.378
49.049,6.119
51.805,5.183
54.522,4.84
57.189,4.837
60.933,5.425
