x,Curve1
0.194,6.001
1.966,5.435
4.283,4.68
7.544,4.69
10.762,5.176
13.099,6.041
14.716,6.426
16.712,6.147
18.975,5.678
21.639,4.924
23.913,4.645
26.122,4.462
28.775,4.756
30.829,5.524
33.214,6.007
35.584,6.205
37.244,6.115
39.769,5.361
42.507,4.703
44.994,4.52
47.214,4.527
49.466,5.105
51.782,5.589
53.97,6.262
56.137,6.555
58.186,5.989
61.128,5.237
