x,Curve1
0.065,4.904
1.792,5.489
3.724,5.979
5.896,5.701
8.073,5.519
11.581,5.15
13.823,4.872
17.162,5.273
19.502,5.476
21.777,5.775
23.557,6.072
26.006,5.699
28.943,5.232
31.261,5.05
33.792,4.87
36.913,5.173
39.188,5.472
41.474,5.963
43.461,6.165
45.85,5.984
49.341,5.327
52.001,4.955
54.325,4.87
56.877,5.074
59.309,5.662
61.861,5.867
