x,Curve1
0.224,5.603
2.375,5.169
5.013,4.562
7.942,4.644
10.469,5.244
13.701,6.188
15.397,6.444
17.858,6.009
20.48,5.144
23.44,4.709
25.799,4.619
28.682,4.96
32.298,6.075
34.751,6.503
37.716,6.154
41.198,5.115
44.729,4.851
48.431,5.363
51.959,6.048
54.796,6.647
57.631,6.212
60.999,5.346
