x,Curve1
0.19,5.526
2.392,5.263
4.908,5.088
7.609,4.912
10.082,5
12.023,5.439
14.625,5.614
17.787,5.877
20.439,5.877
23.128,5.526
26.175,5
29.326,5.088
30.756,5.263
33.32,5.789
36.119,6.14
38.893,6.14
42.07,5.702
44.765,5.439
47.399,5.175
49.742,5.175
52.67,5.614
55.721,6.053
58.138,6.228
60.549,6.316
