x,Curve1
0.225,5.655
2.09,4.997
4.467,4.666
6.737,4.581
8.78,4.824
11.525,5.476
13.21,5.884
14.839,6.374
16.98,6.207
18.969,5.549
21.397,5.053
24.441,4.558
27.335,4.636
29.957,5.288
32.333,5.941
34.761,6.429
37.143,6.18
39.982,5.357
42.713,4.779
45.1,4.612
48.25,4.854
50.258,5.507
52.634,6.159
54.872,6.566
57.009,6.318
58.936,5.659
60.872,5.165
