x,Curve1
0.729,5.629
4.331,4.948
8.583,4.896
12.79,5.909
15.323,6.304
18.535,5.733
21.976,4.947
25.44,4.905
29.069,5.074
32.331,6.099
35.491,6.379
38.617,5.597
42.373,4.807
45.989,4.55
49.398,5.254
52.654,6.066
55.515,6.882
57.614,6.006
60.583,5.225
