x,Curve1
0.398,5.052
2.321,5.698
4.799,6.339
7.156,5.663
9.765,5.425
12.518,4.746
15.54,5.054
18.566,5.472
21.275,5.892
23.901,6.203
27.058,5.741
29.732,5.063
32.909,5.26
36.004,5.347
39.988,5.978
43.734,6.611
47.518,5.925
51.219,5.129
54.551,5.215
58.052,5.63
61.644,6.373
